id,title,original_language,release_date,budget,revenue,runtime,popularity,vote_average,vote_count,genres_0_name,genres_1_name,genres_2_name,production_companies_0_name,production_companies_1_name,production_companies_2_name,production_countries_0_name,movie_id,actor_1,actor_2,actor_3,profit,roi
10315,Fantastic Mr. Fox,en,2009-10-23,40000000,46471023.0,87.0,68.663,7.8,5368.0,Adventure,Animation,Comedy,Regency Enterprises,Indian Paintbrush,American Empirical Pictures,United States of America,10315,Willem Dafoe,Bill Murray,George Clooney,6471023.0,0.161775575
8009,Highlander,en,1986-03-07,19000000,12900000.0,116.0,43.37,6.9,2573.0,Adventure,Action,Fantasy,Davis-Panzer Productions,Thorn EMI Screen Entertainment,Highlander Productions Limited,United Kingdom,8009,Clancy Brown,Sean Connery,Christopher Lambert,-6100000.0,-0.32105263157894737
192,The Name of the Rose,en,1986-09-24,18000000,77200000.0,130.0,23.298,7.5,2963.0,Drama,Thriller,Mystery,Cristaldifilm,Les Films Ariane,ZDF,France,192,Ron Perlman,Christian Slater,Sean Connery,59200000.0,3.2888888888888888
258489,The Legend of Tarzan,en,2016-06-29,180000000,356743061.0,109.0,76.391,5.9,6169.0,Fantasy,Action,Adventure,Village Roadshow Pictures,Dark Horse Entertainment,Beagle Pug Films,Canada,258489,Margot Robbie,Ella Purnell,Samuel L. Jackson,176743061.0,0.9819058944444444
69,Walk the Line,en,2005-09-13,28000000,186800000.0,136.0,48.384,7.5,2828.0,Drama,Music,Romance,Mars Media Beteiligungs,Tree Line Films,Catfish Productions,Germany,69,Reese Witherspoon,Joaquin Phoenix,Robert Patrick,158800000.0,5.671428571428572
615453,Ne Zha,zh,2019-07-26,20000000,742500000.0,110.0,22.806,7.9,397.0,Animation,Fantasy,Adventure,Beijing Enlight Pictures,Horgos Coloroom Pictures,October Media,China,615453,Lü Yanting,Chen Hao,Joseph,722500000.0,36.125
412656,Chaos Walking,en,2021-02-24,125000000,26508132.0,109.0,42.311,6.6,2254.0,Fantasy,Science Fiction,Adventure,Quadrant Pictures,Lionsgate,Bron Studios,Canada,412656,Tom Holland,Daisy Ridley,Mads Mikkelsen,-98491868.0,-0.787934944
14161,2012,en,2009-10-10,200000000,791217826.0,158.0,74.774,5.8,11861.0,Action,Adventure,Science Fiction,Columbia Pictures,Centropolis Entertainment,Farewell Productions,United States of America,14161,Oliver Platt,Woody Harrelson,Chiwetel Ejiofor,591217826.0,2.95608913
345940,The Meg,en,2018-08-09,150000000,530517320.0,113.0,79.117,6.3,7578.0,Action,Science Fiction,Horror,Apelles Entertainment,Gravity Pictures,di Bonaventura Pictures,China,345940,Jason Statham,Ruby Rose,Shuya Sophia Cai,380517320.0,2.5367821333333334
384018,Fast & Furious Presents: Hobbs & Shaw,en,2019-08-01,200000000,760098996.0,137.0,111.938,6.861,7140.0,Action,Adventure,Comedy,Chris Morgan Productions,Seven Bucks Productions,Universal Pictures,United States of America,384018,Jason Statham,Ryan Reynolds,Dwayne Johnson,560098996.0,2.80049498
9675,Sideways,en,2004-10-22,16000000,109502303.0,127.0,23.838,7.097,1634.0,Comedy,Drama,Romance,Fox Searchlight Pictures,Michael London Productions,Sideways Productions Inc.,Hungary,9675,Thomas Haden Church,Virginia Madsen,Paul Giamatti,93502303.0,5.8438939375
47933,Independence Day: Resurgence,en,2016-06-22,165000000,389681935.0,120.0,36.017,5.3,5994.0,Action,Adventure,Science Fiction,20th Century Fox,TSG Entertainment,Centropolis Entertainment,United States of America,47933,Joey King,Mckenna Grace,Jeff Goldblum,224681935.0,1.361708696969697
254,King Kong,en,2005-12-12,207000000,562363449.0,187.0,97.786,6.889,7810.0,Adventure,Drama,Action,Universal Pictures,WingNut Films,Big Primate Pictures,New Zealand,254,Andy Serkis,Jack Black,Laura Surrich,355363449.0,1.7167316376811594
431693,Spies in Disguise,en,2019-12-04,100000000,171616764.0,102.0,40.127,7.6,2774.0,Animation,Action,Adventure,Chernin Entertainment,Blue Sky Studios,20th Century Fox Animation,United States of America,431693,Tom Holland,Will Smith,Karen Gillan,71616764.0,0.71616764
406759,Moonfall,en,2022-02-03,146000000,67319703.0,131.0,73.423,6.318,3081.0,Science Fiction,Adventure,Action,Centropolis Entertainment,Street Entertainment,Lionsgate,Hong Kong,406759,Halle Berry,Donald Sutherland,Michael Peña,-78680297.0,-0.5389061438356164
13256,Mutant Chronicles,en,2008-08-07,8000000,2131057.0,111.0,22.95,5.3,449.0,Action,Adventure,Horror,Pressman Film,First Foot Films,Isle of Man Film,United States of America,13256,Ron Perlman,Devon Aoki,Thomas Jane,-5868943.0,-0.733617875
1593,Night at the Museum,en,2006-12-20,110000000,574480841.0,108.0,44.951,6.582,10126.0,Action,Adventure,Comedy,1492 Pictures,21 Laps Entertainment,20th Century Fox,United States of America,1593,Paul Rudd,Robin Williams,Carla Gugino,464480841.0,4.2225531
522162,Midway,en,2019-11-06,100000000,127400000.0,138.0,45.633,7.1,2445.0,Action,War,History,AGC Studios,Centropolis Entertainment,Street Entertainment,Canada,522162,Dennis Quaid,Ed Skrein,Woody Harrelson,27400000.0,0.274
429351,12 Strong,en,2018-01-18,35000000,67450815.0,130.0,37.819,6.32,2932.0,War,Drama,Action,Torridon Films,Alcon Entertainment,Black Label Media,United States of America,429351,Chris Hemsworth,William Fichtner,Trevante Rhodes,32450815.0,0.9271661428571428
11283,Nanny McPhee,en,2005-10-21,25000000,123276807.0,97.0,55.276,6.675,2995.0,Fantasy,Comedy,Family,Metro-Goldwyn-Mayer,Three Strange Angels,Nanny McPhee Productions,France,11283,Thomas Brodie-Sangster,Emma Thompson,Angela Lansbury,98276807.0,3.93107228
